GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
2808.078572,0,1,3,3.000000,256,0,216,0,-440.000000,0,0.000000,10,25.000000,42,11,31,1,40,110,107
2825.092561,0,1,3,3.000000,256,0,236,0,-1080.000000,0,0.000000,1,5.000000,37,10,27,1,20,137,97
2840.861649,0,1,3,3.000000,256,0,158,0,-61.224490,0,0.000000,18,18.367347,32,8,24,1,98,92,76
2856.857076,0,1,3,3.000000,256,0,160,0,-66.666667,0,0.000000,19,19.791667,33,13,20,1,96,95,100
2871.787988,0,1,3,3.000000,256,0,180,0,-136.842105,0,0.000000,13,17.105263,42,9,33,1,76,81,89
2884.685150,0,1,3,3.000000,256,0,178,0,-128.205128,0,0.000000,10,12.820513,33,9,24,1,78,82,126
2905.553937,0,1,3,3.000000,256,0,143,0,-26.548673,0,0.000000,19,16.814159,30,13,17,1,113,81,87
2921.156862,0,1,3,3.000000,256,0,184,0,-155.555556,0,0.000000,13,18.055556,38,9,29,1,72,99,83
2930.602938,0,1,3,3.000000,256,0,205,0,-301.960784,0,0.000000,3,5.882353,42,13,29,1,51,113,117
2957.905830,0,1,3,3.000000,256,0,159,0,-63.917526,0,0.000000,27,27.835052,38,14,24,1,97,135,97
2965.525739,0,1,3,3.000000,256,0,120,0,11.764706,0,0.000000,23,16.911765,23,6,17,1,136,107,59
2999.138169,0,1,3,3.000000,256,0,174,0,-112.195122,0,0.000000,19,23.170732,49,15,34,1,82,99,69
3017.105899,0,1,3,3.000000,256,0,113,0,20.979021,0,0.000000,25,17.482517,29,11,18,1,143,79,122
3035.452482,0,1,3,3.000000,256,0,169,0,-94.252874,0,0.000000,13,14.942529,41,18,23,1,87,103,94
3052.030442,0,1,3,3.000000,256,0,161,0,-69.473684,0,0.000000,21,22.105263,40,7,33,1,95,105,94
3078.989573,0,1,3,3.000000,256,0,158,0,-61.224490,0,0.000000,20,20.408163,40,11,29,1,98,106,103
3088.754050,0,1,3,3.000000,256,0,130,0,-3.174603,0,0.000000,23,18.253968,25,11,14,1,126,91,88
