gvt,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
6939.403320,4,0,6,10,0,7,9,1,5,4,1,10,0,1,18,4
6963.436035,11,14,20,25,14,3,9,12,13,8,16,9,6,10,10,5
6993.632812,13,15,20,34,11,21,7,35,15,13,19,24,18,15,17,18
7022.177734,7,6,11,18,15,15,5,10,17,8,16,12,4,21,10,11
7042.740723,4,3,5,9,8,3,2,8,3,10,9,9,6,9,7,4
7066.747559,4,7,9,17,3,8,3,11,12,11,13,7,7,6,7,7
7093.485352,15,7,13,20,14,6,1,21,10,14,14,15,10,7,11,7
7120.134277,7,9,10,17,14,6,3,14,14,16,6,14,7,10,7,6
7141.476074,1,7,10,3,5,1,1,5,2,3,0,3,1,1,2,3
7173.228516,12,2,12,19,5,16,4,24,8,9,10,15,6,15,27,12
7201.297363,20,12,12,21,8,12,8,18,13,13,6,19,6,11,21,15
7222.461426,3,9,4,7,6,6,0,15,7,9,0,12,2,2,0,3
7253.141113,19,10,8,20,6,4,4,13,8,9,5,9,10,2,7,7
7281.567383,13,17,12,23,11,5,5,22,8,10,10,12,10,16,12,11
7303.048340,8,8,2,13,8,12,4,20,18,13,11,16,6,14,6,4
7330.300781,15,10,10,22,7,14,2,9,14,7,8,8,1,7,12,5
7358.946289,19,29,22,20,15,8,2,21,16,15,16,12,14,7,8,14
7385.621582,16,14,18,16,7,7,2,15,5,3,8,13,4,4,15,7
7410.541016,2,6,9,9,4,6,3,8,13,8,4,13,1,1,8,9
7445.348145,28,16,31,33,15,8,4,21,27,16,8,20,7,6,10,22
7473.857422,15,12,19,9,9,8,8,24,11,17,10,15,6,5,9,8
7501.187988,19,12,17,13,20,10,0,10,15,17,13,18,17,9,15,8
7534.950195,1,10,7,18,16,9,8,12,6,14,6,11,1,7,9,9
7559.961914,7,3,13,13,15,5,7,15,6,11,6,5,4,4,4,7
7587.648926,13,10,17,11,9,10,3,14,15,10,9,17,7,7,12,13
7618.868164,14,11,13,17,17,20,4,22,14,18,13,7,7,15,12,10
7654.125000,18,15,15,25,11,13,4,22,16,12,15,15,4,13,7,19
7680.727539,9,10,6,11,7,7,1,12,5,7,8,9,8,3,11,13
7703.262207,11,3,10,16,7,11,6,10,10,14,3,13,4,8,7,8
7721.314453,14,17,8,13,7,10,6,16,2,4,6,16,2,4,15,9
7746.100586,12,13,3,14,7,4,6,19,6,25,13,6,8,11,11,2
7765.294434,4,10,18,8,3,12,2,9,4,14,10,7,4,4,1,4
7792.778809,18,20,15,24,12,11,6,13,15,13,20,24,1,12,20,7
7819.611328,19,8,9,9,10,14,0,17,20,9,16,12,4,6,9,7
7851.269531,42,40,40,68,27,25,15,43,23,17,32,52,22,18,30,38
7873.180664,13,21,13,8,7,20,0,8,18,18,8,9,3,8,12,2
7897.535645,15,15,15,37,21,14,6,29,9,13,27,26,11,12,31,15
7916.578125,7,16,14,19,14,11,12,18,13,21,12,16,12,13,45,9
7928.773926,7,11,3,14,3,14,0,9,7,5,4,8,8,2,1,1
7952.650879,6,4,8,15,13,6,8,27,11,17,11,16,12,5,19,11
7974.151367,9,10,12,19,8,9,2,11,11,13,11,17,3,9,20,9
7997.101562,12,11,6,5,4,9,2,12,2,5,8,4,5,6,14,2
8011.974121,3,6,8,8,5,5,0,15,7,5,1,13,1,4,3,5
8036.694824,6,2,6,9,4,1,1,8,15,8,7,16,3,9,6,4
8067.254395,11,8,5,18,13,11,4,28,15,13,14,18,0,14,9,3
8090.402832,14,16,17,14,16,15,6,26,16,10,4,27,7,18,15,8
8114.854980,5,16,13,22,11,11,3,26,10,11,11,23,8,9,13,7
8141.196777,17,14,10,11,8,8,4,20,10,13,10,12,5,4,4,6
8168.606934,19,13,14,16,18,8,13,18,7,13,24,15,7,8,11,10
8193.340820,15,20,20,12,21,11,6,12,16,10,13,14,7,9,20,12
8221.497070,11,15,16,9,5,6,5,13,10,7,15,19,5,7,9,2
8251.669922,19,4,12,11,16,8,4,24,22,15,10,19,13,19,18,16
8278.375000,23,31,14,26,16,17,10,38,23,23,16,22,11,12,11,9
8303.919922,26,15,17,17,15,14,10,18,13,8,9,8,17,7,20,5
8326.392578,12,2,6,15,8,7,3,4,5,10,5,4,5,8,10,6
8354.352539,13,7,8,10,6,12,5,13,10,8,9,10,2,11,7,5
8379.200195,10,7,10,11,6,6,1,13,3,11,7,8,5,3,13,3
