gvt, PE_0, PE_1, PE_2, PE_3, PE_4, PE_5, PE_6, PE_7, PE_8, PE_9, PE_10, PE_11, PE_12, PE_13, PE_14, PE_15
90005.835938, 45, 48, 52, 51, 45, 62, 51, 45, 42, 50, 55, 47, 44, 36, 50, 75
90038.460938, 50, 53, 59, 61, 58, 66, 47, 54, 44, 51, 64, 38, 67, 47, 54, 68
90061.242188, 47, 38, 43, 39, 44, 37, 51, 44, 50, 47, 46, 41, 47, 37, 56, 52
90087.296875, 58, 48, 53, 46, 47, 37, 43, 46, 56, 45, 52, 34, 43, 58, 48, 54
90107.968750, 34, 40, 35, 46, 28, 41, 45, 43, 36, 34, 34, 41, 39, 29, 37, 40
90128.101562, 44, 20, 43, 51, 46, 34, 34, 56, 33, 47, 41, 36, 46, 35, 27, 43
90156.664062, 61, 56, 72, 51, 63, 54, 43, 41, 58, 72, 54, 46, 49, 44, 46, 63
90177.835938, 45, 44, 48, 42, 46, 50, 41, 41, 27, 38, 55, 37, 42, 34, 38, 40
90206.265625, 39, 52, 62, 48, 40, 57, 48, 43, 46, 47, 38, 41, 46, 41, 54, 57
90234.125000, 49, 58, 59, 55, 53, 44, 54, 51, 61, 55, 54, 55, 52, 46, 57, 63
90267.164062, 64, 52, 62, 72, 62, 52, 51, 54, 56, 54, 54, 51, 50, 60, 45, 77
90298.351562, 65, 69, 75, 71, 53, 58, 63, 59, 54, 72, 62, 90, 60, 70, 46, 65
90325.437500, 52, 50, 52, 66, 48, 52, 49, 39, 56, 58, 56, 51, 51, 48, 45, 80
90358.156250, 79, 58, 83, 50, 58, 57, 80, 72, 69, 82, 54, 70, 61, 67, 54, 91
90380.382812, 40, 53, 55, 42, 41, 47, 50, 51, 51, 47, 45, 49, 33, 40, 42, 54
90391.148438, 16, 22, 24, 28, 23, 20, 21, 23, 29, 20, 20, 16, 21, 30, 21, 23
90402.046875, 17, 15, 20, 18, 20, 29, 15, 18, 19, 15, 29, 23, 20, 20, 23, 28
90428.085938, 46, 45, 43, 51, 41, 43, 35, 40, 45, 64, 42, 44, 38, 41, 45, 43
90449.632812, 40, 37, 47, 49, 34, 36, 43, 51, 40, 42, 37, 31, 36, 49, 44, 47
90485.648438, 64, 65, 65, 47, 54, 52, 57, 55, 67, 59, 62, 68, 51, 56, 53, 64
90514.187500, 49, 58, 58, 60, 57, 58, 70, 52, 58, 71, 64, 56, 55, 54, 49, 71
90549.648438, 60, 60, 77, 87, 71, 51, 62, 49, 73, 67, 69, 64, 63, 69, 81, 68
90580.859375, 71, 66, 71, 82, 66, 64, 68, 71, 56, 63, 69, 55, 62, 72, 81, 77
90612.562500, 65, 70, 62, 58, 53, 50, 59, 81, 83, 62, 51, 59, 60, 71, 64, 64
90644.734375, 49, 63, 53, 62, 58, 54, 44, 48, 58, 64, 57, 48, 50, 59, 54, 59
90677.242188, 59, 57, 59, 72, 55, 60, 64, 67, 75, 58, 65, 73, 61, 66, 60, 61
90711.140625, 70, 73, 63, 66, 66, 77, 77, 58, 62, 67, 68, 76, 65, 61, 83, 88
90741.703125, 53, 68, 69, 56, 57, 46, 74, 61, 82, 54, 54, 69, 61, 78, 77, 75
